Internal Reference,Product Name,Quantity,UoM,Confidence,Source,Specifications,Notes
CAD-H-1,Dimensions,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,shown,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,in,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,mm,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,unless,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,otherwise,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,specified,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Metric,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,vestas.com,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,1,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,2,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,3,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,4,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,5,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,6,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,7,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,8,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,A,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,B,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,C,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,D,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,E,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,F,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,600,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,0,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,100,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,137,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,267,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,305,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,282,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,317,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
