*BOM Import Format
*Export Date: 2025-12-04T16:09:16.710213
*Source: MongoDB utkarshproduction.BOMAUTOMATION
*Confidence Threshold: 0.9
*
ITEM_NO	DESCRIPTION	QUANTITY	UNIT	CONFIDENCE	SOURCE
1	Dimensions	1	PC	1.00	vector
2	shown	1	PC	1.00	vector
3	in	1	PC	1.00	vector
4	mm	1	PC	1.00	vector
5	unless	1	PC	1.00	vector
6	otherwise	1	PC	1.00	vector
7	specified	1	PC	1.00	vector
8	Metric	1	PC	1.00	vector
9	vestas.com	1	PC	1.00	vector
10	1	1	PC	1.00	vector
11	2	1	PC	1.00	vector
12	3	1	PC	1.00	vector
13	4	1	PC	1.00	vector
14	5	1	PC	1.00	vector
15	6	1	PC	1.00	vector
16	7	1	PC	1.00	vector
17	8	1	PC	1.00	vector
18	A	1	PC	1.00	vector
19	B	1	PC	1.00	vector
20	C	1	PC	1.00	vector
21	D	1	PC	1.00	vector
22	E	1	PC	1.00	vector
23	F	1	PC	1.00	vector
24	600	1	PC	1.00	vector
25	0	1	PC	1.00	vector
26	100	1	PC	1.00	vector
27	137	1	PC	1.00	vector
28	267	1	PC	1.00	vector
29	305	1	PC	1.00	vector
30	282	1	PC	1.00	vector
31	317	1	PC	1.00	vector
32	650	1	PC	1.00	vector
33	12x	1	PC	1.00	vector
34	65	1	PC	1.00	vector
35	1	1	PC	1.00	vector
36	2x	1	PC	1.00	vector
37	115	1	PC	1.00	vector
38	1	1	PC	1.00	vector
39	1	1	PC	1.00	vector
40	0	1	PC	1.00	vector
41	-1	1	PC	1.00	vector
42	1	1	PC	1.00	vector
43	0	1	PC	1.00	vector
44	-1	1	PC	1.00	vector
45	60	1	PC	1.00	vector
46	25	1	PC	1.00	vector
47	273	1	PC	1.00	vector
48	20	1	PC	1.00	vector
49	3209	1	PC	1.00	vector
50	0	1	PC	1.00	vector
51	189	1	PC	1.00	vector
52	260	1	PC	1.00	vector
53	331	1	PC	1.00	vector
54	401	1	PC	1.00	vector
55	472	1	PC	1.00	vector
56	615	1	PC	1.00	vector
57	726	1	PC	1.00	vector
58	856	1	PC	1.00	vector
59	2162	1	PC	1.00	vector
60	20	1	PC	1.00	vector
61	45	1	PC	1.00	vector
62	$	1	PC	1.00	vector
63	45	1	PC	1.00	vector
64	$	1	PC	1.00	vector
65	400	1	PC	1.00	vector
66	2812	1	PC	1.00	vector
67	397	1	PC	1.00	vector
68	100	1	PC	1.00	vector
69	100	1	PC	1.00	vector
